"","incident_type","city"
"29165","Simple Assault","SHORELINE"
"29178","Simple Assault","SHORELINE"
"29671","Simple Assault","SHORELINE"
"31000","Simple Assault","SHORELINE"
"31195","Simple Assault","SHORELINE"
"31358","Simple Assault","SHORELINE"
"31505","Simple Assault","SHORELINE"
"32898","Simple Assault","SHORELINE"
"33754","Simple Assault","SHORELINE"
"33994","Simple Assault","SHORELINE"
"34579","Simple Assault","SHORELINE"
"34632","Simple Assault","SHORELINE"
"34801","Simple Assault","SHORELINE"
"35172","Simple Assault","SHORELINE"
"35505","Simple Assault","SHORELINE"
"35633","Simple Assault","SHORELINE"
"35657","Simple Assault","SHORELINE"
"35665","Simple Assault","SHORELINE"
