"","Offense","Seattle_neighborhoods"
"35419","Shoplifting","BALLARD SOUTH"
"35507","Shoplifting","BALLARD SOUTH"
"35508","Shoplifting","BALLARD SOUTH"
"36012","Shoplifting","BALLARD SOUTH"
"36121","Shoplifting","BALLARD SOUTH"
"36151","Shoplifting","BALLARD SOUTH"
"36347","Shoplifting","BALLARD SOUTH"
"36357","Shoplifting","BALLARD SOUTH"
"36568","Shoplifting","BALLARD SOUTH"
"36650","Shoplifting","BALLARD SOUTH"
"36790","Shoplifting","BALLARD SOUTH"
"36884","Shoplifting","BALLARD SOUTH"
"37035","Shoplifting","BALLARD SOUTH"
"37116","Shoplifting","BALLARD SOUTH"
"37189","Shoplifting","BALLARD SOUTH"
"37316","Shoplifting","BALLARD SOUTH"
"38381","Shoplifting","BALLARD SOUTH"
"38438","Shoplifting","BALLARD SOUTH"
"38879","Shoplifting","BALLARD SOUTH"
"39152","Shoplifting","BALLARD SOUTH"
"39256","Shoplifting","BALLARD SOUTH"
"39732","Shoplifting","BALLARD SOUTH"
"39892","Shoplifting","BALLARD SOUTH"
"39893","Shoplifting","BALLARD SOUTH"
"39998","Shoplifting","BALLARD SOUTH"
"40016","Shoplifting","BALLARD SOUTH"
"40143","Shoplifting","BALLARD SOUTH"
"40469","Shoplifting","BALLARD SOUTH"
"40649","Shoplifting","BALLARD SOUTH"
"40713","Shoplifting","BALLARD SOUTH"
"40732","Shoplifting","BALLARD SOUTH"
"40819","Shoplifting","BALLARD SOUTH"
"40839","Shoplifting","BALLARD SOUTH"
"40851","Shoplifting","BALLARD SOUTH"
"41000","Shoplifting","BALLARD SOUTH"
"41024","Shoplifting","BALLARD SOUTH"
"41029","Shoplifting","BALLARD SOUTH"
"41033","Shoplifting","BALLARD SOUTH"
"41169","Shoplifting","BALLARD SOUTH"
"61790","Shoplifting","BALLARD SOUTH"
"62026","Shoplifting","BALLARD SOUTH"
"62027","Shoplifting","BALLARD SOUTH"
"62291","Shoplifting","BALLARD SOUTH"
"62326","Shoplifting","BALLARD SOUTH"
"62370","Shoplifting","BALLARD SOUTH"
"62397","Shoplifting","BALLARD SOUTH"
"62400","Shoplifting","BALLARD SOUTH"
"62495","Shoplifting","BALLARD SOUTH"
"62513","Shoplifting","BALLARD SOUTH"
"63050","Shoplifting","BALLARD SOUTH"
"63650","Shoplifting","BALLARD SOUTH"
"63765","Shoplifting","BALLARD SOUTH"
"63770","Shoplifting","BALLARD SOUTH"
"63793","Shoplifting","BALLARD SOUTH"
"63794","Shoplifting","BALLARD SOUTH"
"63795","Shoplifting","BALLARD SOUTH"
"63892","Shoplifting","BALLARD SOUTH"
"63998","Shoplifting","BALLARD SOUTH"
"64011","Shoplifting","BALLARD SOUTH"
"64040","Shoplifting","BALLARD SOUTH"
"64041","Shoplifting","BALLARD SOUTH"
"64042","Shoplifting","BALLARD SOUTH"
"64043","Shoplifting","BALLARD SOUTH"
"64044","Shoplifting","BALLARD SOUTH"
"64135","Shoplifting","BALLARD SOUTH"
"64320","Shoplifting","BALLARD SOUTH"
"64415","Shoplifting","BALLARD SOUTH"
"64487","Shoplifting","BALLARD SOUTH"
"64748","Shoplifting","BALLARD SOUTH"
"64881","Shoplifting","BALLARD SOUTH"
"65000","Shoplifting","BALLARD SOUTH"
"65114","Shoplifting","BALLARD SOUTH"
"65170","Shoplifting","BALLARD SOUTH"
"65172","Shoplifting","BALLARD SOUTH"
"65174","Shoplifting","BALLARD SOUTH"
"65248","Shoplifting","BALLARD SOUTH"
"65592","Shoplifting","BALLARD SOUTH"
"65593","Shoplifting","BALLARD SOUTH"
"66191","Shoplifting","BALLARD SOUTH"
"66268","Shoplifting","BALLARD SOUTH"
"66507","Shoplifting","BALLARD SOUTH"
"66535","Shoplifting","BALLARD SOUTH"
"66597","Shoplifting","BALLARD SOUTH"
"66598","Shoplifting","BALLARD SOUTH"
"66617","Shoplifting","BALLARD SOUTH"
"66736","Shoplifting","BALLARD SOUTH"
"66819","Shoplifting","BALLARD SOUTH"
"66846","Shoplifting","BALLARD SOUTH"
"69289","Shoplifting","BALLARD SOUTH"
"69406","Shoplifting","BALLARD SOUTH"
"79219","Shoplifting","BALLARD SOUTH"
"79330","Shoplifting","BALLARD SOUTH"
"79498","Shoplifting","BALLARD SOUTH"
"79499","Shoplifting","BALLARD SOUTH"
"79514","Shoplifting","BALLARD SOUTH"
"79540","Shoplifting","BALLARD SOUTH"
